,0,1,2,3
0,(-3.9305001378973604e-17-0j),(0.003171506385497749+0j),(-0.00020796763183591837-0j),(4.093947403305265e-17+0j)
1,(4.90619628067734e-17+0j),(0.001871708686523261+0j),(0.0004679271716308158+0j),(-4.9266146717741325e-17-0j)
2,(-9.8083294119137e-18-0j),(-0.0002599595397948975-0j),(-0.0013517896069334668-0j),(9.80118763926896e-18+0j)
3,(-3.932295512452992e-17-0j),(0.00311951447753877+0j),(0.0015597572387693844+0j),(3.9898639947466563e-17+0j)
4,(-1.471527353826779e-17-0j),(-0.0013517896069334668-0j),(-0.0009358543432616308-0j),(1.491862189340054e-17+0j)
5,(-2.4517717738128767e-17-0j),(-0.0008838624353026516-0j),(-0.0006758948034667326-0j),(2.4806545706468343e-17+0j)
6,(6.916934243904385e-17+0j),(0.005875085599364682+0j),(-0.0009358543432616293-0j),(-7.077671781985374e-17-0j)
7,(-1.4239950734402494e-16-0j),(0.002703579213866932+0j),(0.00046792717163081317+0j),(1.4224732503009818e-16+0j)
8,(-4.906025380756692e-18-0j),(0.00025995953979489794+0j),(0.0018197167785642808+0j),(4.90059381963448e-18+0j)
9,0j,(0.004991070850991486+0j),0j,(-6.938893903907229e-19-0j)
10,(-1.365602149561609e-16-0j),(0.004575008672542117+0j),(0.00036392114440675664+0j),(1.3461454173580025e-16+0j)
11,(5.95378928960604e-17+0j),(0.005407158427733864+0j),(-0.004991223164062028-0j),(-6.106226635438361e-17-0j)
12,(1.179720434805919e-16+0j),(0.003275490201415708+0j),(-0.0012478057910155068-0j),(-1.1796119636642288e-16-0j)
13,(3.8951347426924684e-16+0j),(0.0069660653686217135+0j),(-0.0030151626222392337-0j),(-3.9274139496114914e-16-0j)
14,(4.603056234070972e-16+0j),(0.009566511064452226+0j),(-0.00025995953979487865-0j),(-4.579669976578771e-16-0j)
15,(-1.219049825590397e-16-0j),(0.012581273849490824+0j),(-0.006706546804067431-0j),(1.2628786905111155e-16+0j)
